#N/A 
?? ??
?coccinia sp.
?egilops ?????
?heliotropium sp.
?ipomoea sp.
?triticosecale spp.
?tritordeum sp.
Aegilops смесь
Allium -hybrid,
Allium carinatum?oler?
Amaranthus hybr.*
Beta vulgaris\"saccharifera\"
Brassica? rapa?
Brassica? sp.
Cotoneaster 'exburiensis'
Cucurbita ???
Daucus? carota?
Daucus? sp.
Erysimum Ã—
Fragaria ×ananassa
Fragaria ×vescana
G 313
Grass-mixture sp.
Grass/legume-mixture sp.
Hieracium ×
Hordeum-spontaneum-K. Koch
Jumellea sp.1
Lactuca? saligna?
Lathyrus hirticarpus???
Mentha [m.
Mentha [m.canadensis
Mentha spp.*
N.n. sp.
Paspalum [gr.
Plicata 'excelsa'
Populus v235
R-brassica sp.
Rhododendron a.r.
Rhododendron hybrid-r.yunnanense
Selaginella p.b.
Sinapis? alba?
Sinapis? arvensis?
Sinapis? sp.
Solanum Ã—chaucha
Solanum Ã—curtilobum
Tilia ×
Tr .Aestivum.V.erythrospermum
Trifolium ????
Trigonella foenum-graeceum,
Triticose?ale sp.
Triticum sp.var.
Unident-apiaceae spp.
Unident-arecaceae spp.
Unident-asteraceae sp.
Unident-asteraceae spp.
Unident-cucurbitaceae spp.
Unident-fabaceae sp.
Unident-fabaceae spp.
Unident-lamiaceae spp.
Unident-malvaceae spp.
Unident-poaceae spp.
Viburnum davidiiá
Viburnum plicatumá
Vitis i.c.
Xtriticum x??
~nd ~nd
~sp ~sp
Ã—Triticosecale spp.
×triticosecale spp.
Х Festulolium
