Beta vulgaris\saccharifera\	8971274	Beta vulgaris L.	Beta	Beta vulgaris	SPECIES	ACCEPTED
Zygophyllum potaninii	4927589	Zygophyllum potaninii Maxim.	Zygophyllum	Zygophyllum potaninii	SPECIES	ACCEPTED
Zygophyllum rosowii	3987350	Zygophyllum rosowii Bunge	Zygophyllum	Zygophyllum rosowii	SPECIES	ACCEPTED
Zygophyllum miniatum	3986929	Zygophyllum miniatum Cham.	Zygophyllum	Zygophyllum miniatum	SPECIES	ACCEPTED
Fragaria ×ananassa	3029912	Fragaria ananassa (Weston) Duchesne ex Rozier	Fragaria	Fragaria ananassa	SPECIES	ACCEPTED
Sinapis? alba?	3047621	Sinapis alba L.	Sinapis	Sinapis alba	SPECIES	ACCEPTED
Zygophyllum ferganense	3987008	Zygophyllum ferganense (Drobov) A.Boriss.	Zygophyllum	Zygophyllum xanthoxylum	SPECIES	SYNONYM
Zygophyllum marliesiae	3987086	Zygophyllum marliesiae R.M.Barker	Roepera	Roepera marliesiae	SPECIES	SYNONYM
Brassica? rapa?	7903057	Brassica rapa L.	Brassica	Brassica rapa	SPECIES	ACCEPTED
Viburnum plicatumá	2888622	Viburnum plicatum Thunb.	Viburnum	Viburnum plicatum	SPECIES	ACCEPTED
Trigonella foenum-graeceum,	5360475	Trigonella foenum-graecum L.	Trigonella	Trigonella foenum-graecum	SPECIES	ACCEPTED
Zygophyllum simplex	9066166	Zygophyllum simplex Forssk.	Zygophyllum	Zygophyllum simplex	SPECIES	ACCEPTED
Zygophyllum macropodum	3987162	Zygophyllum macropodum Boriss.	Zygophyllum	Zygophyllum macropodum	SPECIES	ACCEPTED
Zygophyllum obliquum	3986878	Zygophyllum obliquum Popov	Zygophyllum	Zygophyllum obliquum	SPECIES	ACCEPTED
Amaranthus hybr.*	6710338	Amaranthus hybr	Amaranthus	Amaranthus hybr	SPECIES	ACCEPTED
Rhododendron hybrid-r.yunnanense	4173731	Rhododendron Ã—hybridum Ker Gawl.	Rhododendron	Rhododendron hybridum	SPECIES	DOUBTFUL
Daucus? carota?	3034742	Daucus carota L.	Daucus	Daucus carota	SPECIES	ACCEPTED
Zygophyllum fontanesii	3986952	Zygophyllum fontanesii Webb & Berthel.	Tetraena	Tetraena fontanesii	SPECIES	SYNONYM
Zygophyllum rowelliae	3987346	Zygophyllum rowelliae R.M.Barker	Roepera	Roepera rowelliae	SPECIES	SYNONYM
Fragaria ×vescana	3030106	Fragaria Ã—vescana Rud.Bauer & A.Bauer	Fragaria	Fragaria vescana	SPECIES	ACCEPTED
Zygophyllum kaschgaricum	3987348	Zygophyllum kaschgaricum Boriss.	Zygophyllum	Zygophyllum kaschgaricum	SPECIES	ACCEPTED
Lactuca? saligna?	3140467	Lactuca saligna L.	Lactuca	Lactuca saligna	SPECIES	ACCEPTED
Lathyrus hirticarpus???	5627021	Lathyrus hirticarpus J.Mattatia & Heyn	Lathyrus	Lathyrus hirticarpus	SPECIES	DOUBTFUL
Zygophyllum pterocarpum	7285892	Zygophyllum pterocarpum Bunge	Zygophyllum	Zygophyllum pterocarpum	SPECIES	ACCEPTED
Zygophyllum kegense	3987345	Zygophyllum kegense Boriss.	Zygophyllum	Zygophyllum kegense	SPECIES	ACCEPTED
Zygophyllum flavum	3986996	Zygophyllum flavum H.Eichler ex R.M.Barker	Roepera	Roepera flava	SPECIES	SYNONYM
Viburnum davidiiá	4930155	Viburnum davidii Franch.	Viburnum	Viburnum davidii	SPECIES	ACCEPTED
Sinapis? arvensis?	3047598	Sinapis arvensis L.	Sinapis	Sinapis arvensis	SPECIES	ACCEPTED
