"crop_name","year","country_iso2","country_name","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","cu_amount_countries","gp_index_crops","gp_index_crops_lives_products","gp_index_custom","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Abaca","2010","","World",162997,101610,11161,14231,12279,13692,NA,NA,NA,NA,85.089464,1,2.78590851986786e-05,7.43132130231609e-06,0.4,NA,9.71757321269381e-05,0.400132466138628
"Abaca","2011","","World",168175,104647,10801,16439,10525,13444,NA,NA,NA,NA,105.500519,1,2.87356453512643e-05,7.27516319447245e-06,0.4,NA,0.000120547359461454,0.400156558168007
"Abaca","2012","","World",167961,104761,6161,10209,10108,5580,NA,NA,NA,NA,113.747981,1,2.87120131534287e-05,3.24875255845793e-06,0.4,NA,0.000129991095138987,0.400161951860851
"Abaca","2013","","World",168716,102039,7974,12493,6070,9021,NA,NA,NA,NA,106.653883,1,2.8673401720707e-05,4.98088772301817e-06,0.4,NA,0.000121868016016887,0.400155522305461
"Adlay","2010","","World",4573353,5624483,NA,NA,NA,NA,2.12,6,0.18,0.02,1568.32234,1,0.000928863471587138,NA,0.4,0.000455332516499421,0.00179554781667498,0.403179743804762
"Adlay","2011","","World",3800556,4869357,NA,NA,NA,NA,2.17,7,0.18,0.02,1188.215668,1,0.000782166611064045,NA,0.4,0.000463776180374049,0.00136030762525189,0.40260625041669
"Adlay","2012","","World",3949220,5476533,NA,NA,NA,NA,2.06,6,0.17,0.02,1782.852482,1,0.000834676460670271,NA,0.4,0.000445200119849867,0.00204119501770623,0.403321071598226
"Adlay","2013","","World",4260313,6150540,NA,NA,NA,NA,NA,NA,NA,NA,1980.689669,1,0.000913187830407062,NA,0.4,NA,0.00226772799248255,0.40318091582289
"Adzuki bean","2010","","World",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,1,0.00694332427497575,0.00217577575346952,0.4,0.00176213078616697,0.0386893668542399,0.449570597668852
"Adzuki bean","2011","","World",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,1,0.00688823531813896,0.00261504423342792,0.4,0.00168391737849819,0.0479411035309493,0.459128300461014
"Adzuki bean","2012","","World",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,1,0.00675518470332227,0.00268507645340252,0.4,0.00163832159357519,0.0436417839287307,0.454720366679031
"Adzuki bean","2013","","World",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,1,0.00681050189622948,0.00256560260176531,0.4,NA,0.0470481756679885,0.456424280165983
"African rice","2010","","World",693740399,NA,31920942,20841526,33667567,20292800,148.3,547,10.24,1.89,248136.623625,1,NA,0.0131142184756167,0.4,0.0343986539629375,0.284127962781886,0.73164083522044
"African rice","2011","","World",706179279,NA,35426797,24182629,37660616,24158859,148.85,548,10.23,1.85,332021.44803,1,NA,0.0152609246628751,0.4,0.0342935144635782,0.380180070574207,0.829734509700661
"African rice","2012","","World",706711851,NA,37934683,24563130,39863585,23854196,148.13,544,10.15,1.82,349330.712114,1,NA,0.0154719813870899,0.4,0.0340234108522984,0.4,0.849495392239388
"African rice","2013","","World",722317347,NA,37887344,26330865,37174387,24225377,NA,NA,NA,NA,337738.587879,1,NA,0.0156256536447794,0.4,NA,0.386726467219072,0.802352120863851
"Agave","2010","","World",56365,44701,NA,NA,NA,NA,NA,NA,NA,NA,25.493216,1,1.01040369934866e-05,NA,0.4,NA,2.89351978286664e-05,0.400039039234822
"Agave","2011","","World",56465,43750,NA,NA,NA,NA,NA,NA,NA,NA,27.706216,1,1.00678730641701e-05,NA,0.4,NA,3.14691879282122e-05,0.400041537060992
"Agave","2012","","World",54840,40965,NA,NA,NA,NA,NA,NA,NA,NA,24.933796,1,9.69645357903816e-06,NA,0.4,NA,2.8294635360755e-05,0.40003799108894
"Agave","2013","","World",54880,41465,NA,NA,NA,NA,NA,NA,NA,NA,21.819912,1,9.72828377700392e-06,NA,0.4,NA,2.47290902965282e-05,0.400034457374074
"Albardine","2010","","World",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,1,6.65168234222474e-05,NA,0.4,NA,9.58383132212717e-05,0.400162355136644
"Albardine","2011","","World",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,1,6.77436365334893e-05,NA,0.4,NA,0.000116885735752278,0.400184629372286
"Albardine","2012","","World",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,1,6.87565155230403e-05,NA,0.4,NA,0.000106813182358958,0.400175569697882
"Albardine","2013","","World",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,1,6.86031627357347e-05,NA,0.4,NA,0.000102091498872838,0.400170694661609
"Alfalfa","2010","","World",NA,NA,1391220,386515,1307714,326427,NA,NA,NA,NA,NA,1,NA,0.000330824972354098,0.4,NA,NA,0.400330824972354
"Alfalfa","2011","","World",NA,NA,1493263,391822,1359116,339904,NA,NA,NA,NA,NA,1,NA,0.000350575087297772,0.4,NA,NA,0.400350575087298
"Alfalfa","2012","","World",NA,NA,1752045,512463,1693467,470072,NA,NA,NA,NA,NA,1,NA,0.000442074259033052,0.4,NA,NA,0.400442074259033
"Alfalfa","2013","","World",NA,NA,1327136,395460,1248773,350993,NA,NA,NA,NA,NA,1,NA,0.000332671582657741,0.4,NA,NA,0.400332671582658
"Allspice","2010","","World",3528625,32763720,3150865,5445416,3162387,5167389,1.18,3,0.14,0.15,29790.132371,1,0.00221134260998818,0.00265965396386042,0.4,0.000940155992092049,0.034110860609181,0.439922013175122
"Allspice","2011","","World",3560014,33429988,3239532,5891003,3325048,5703570,1.23,4,0.15,0.16,32519.391853,1,0.00225072386279729,0.0029030855913837,0.4,0.000998104606461727,0.0372359923337538,0.443387906394397
"Allspice","2012","","World",3649905,34278830,3474033,5845819,3569815,5764959,1.21,4,0.15,0.15,31434.918417,1,0.00230780496963535,0.00296159569338733,0.4,0.000945222190416826,0.035994218745844,0.442208841599284
"Allspice","2013","","World",3608628,34839222,3490853,6323382,3584091,6190515,NA,NA,NA,NA,34179.904516,1,0.00233155861536114,0.00314748880540675,0.4,NA,0.0391373581937684,0.444616405614536
"Almonds","2010","","World",1719675,2570069,524394,2468098,559444,2628845,6.02,15,0.4,1.15,7499.215269,1,0.000373174557575404,0.00120576813070469,0.4,0.00670799770466104,0.00858670188967638,0.416873642282618
"Almonds","2011","","World",1732339,3021249,575939,2854492,627818,3066105,6.34,16,0.42,1.24,10256.29204,1,0.000398653071658325,0.0014014529710501,0.4,0.0072075817079141,0.0117436857312497,0.420751373481872
"Almonds","2012","","World",1767465,2825751,623293,3343982,657281,3564454,6.39,16,0.42,1.23,11556.097624,1,0.000393235785148503,0.00162292085603653,0.4,0.00716652042129368,0.0132320248551495,0.422414701917628
"Almonds","2013","","World",1823264,2840508,620935,4245830,687715,4669085,NA,NA,NA,NA,14858.618026,1,0.000401736782082433,0.00209916567354151,0.4,NA,0.017013567558365,0.419514470013989
"Amaranth","2010","","World",4573353,5624483,NA,NA,NA,NA,2.12,6,0.18,0.02,1568.32234,1,0.000928863471587138,NA,0.4,0.000455332516499421,0.00179554781667498,0.403179743804762
"Amaranth","2011","","World",3800556,4869357,NA,NA,NA,NA,2.17,7,0.18,0.02,1188.215668,1,0.000782166611064045,NA,0.4,0.000463776180374049,0.00136030762525189,0.40260625041669
"Amaranth","2012","","World",3949220,5476533,NA,NA,NA,NA,2.06,6,0.17,0.02,1782.852482,1,0.000834676460670271,NA,0.4,0.000445200119849867,0.00204119501770623,0.403321071598226
"Amaranth","2013","","World",4260313,6150540,NA,NA,NA,NA,NA,NA,NA,NA,1980.689669,1,0.000913187830407062,NA,0.4,NA,0.00226772799248255,0.40318091582289
"Anise","2010","","World",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,1,0.000174017936586306,0.000259527549449805,0.4,0.00109436237463249,0.00196664124917582,0.403494549109844
