"crop_name","year","country_iso2","country_name","c_area_harvested","c_feed","c_production","c_yield","cb_domestic_supply_quantity","cb_export_quantity","cb_feed","cb_food_supply_quantity","cb_import_quantity","cb_losses","cb_other_uses","cb_processing","cb_production","cb_seed","cb_stock_variation","clp_export_quantity","clp_export_value","clp_import_quantity","clp_import_value","fs_fat_supply_quantity","fs_food_supply_kcal","fs_food_supply_quantity_g","fs_food_supply_quantity_kg","fs_food_supply_quantity_t","fs_protein_supply_quantity","vap_gross_production_value_2004_2006_i","vap_gross_production_value_2014_2006_us","vap_gross_production_value_us","vap_net_production_value_2004_2006_i","cu_amount_countries"
"Abaca","2010","","World",162997,NA,101610,6234,97687,12279,NA,NA,11161,NA,98361,NA,98805,NA,0,12279,13692,11161,14231,NA,NA,NA,NA,NA,NA,75070.235405,59.683305,85.089464,75070.235405,1
"Abaca","2011","","World",168175,NA,104647,6223,106050,10525,NA,NA,10801,NA,106050,NA,105774,NA,0,10525,13444,10801,16439,NA,NA,NA,NA,NA,NA,77313.963103,61.503995,105.500519,77313.963103,1
"Abaca","2012","","World",167961,NA,104761,6237,102328,10108,NA,NA,6161,NA,102328,NA,106275,NA,0,10108,5580,6161,10209,NA,NA,NA,NA,NA,NA,77398.339724,61.584139,113.747981,77398.339724,1
"Abaca","2013","","World",168716,NA,102039,6048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6070,9021,7974,12493,NA,NA,NA,NA,NA,NA,75386.968755,60.011443,106.653883,75386.968755,1
"Adlay","2010","","World",4573353,NA,5624483,12298,25156647,2162653,16945234,5234597,3017994,694753,1196807,273802,25021929,1153408,-720622,NA,NA,NA,NA,0.02,6,2.12,0.77,5234597.02,0.18,1471814.729145,787.976097,1568.32234,1282480.024925,1
"Adlay","2011","","World",3800556,895497,4869357,12812,26826514,2037303,18246866,5425673,3323497,714114,1336110,234119,25676844,1225528,-136524,NA,NA,NA,NA,0.02,7,2.17,0.79,5425673.23,0.18,1274213.305559,803.159706,1188.215668,1013282.279513,1
"Adlay","2012","","World",3949220,911953,5476533,13867,27490278,2140115,19300151,5196765,2991319,768032,1303985,171139,27050215,1136077,-411142,NA,NA,NA,NA,0.02,6,2.06,0.75,5196764.82,0.17,1433099.262671,864.541273,1782.852482,1165038.124381,1
"Adlay","2013","","World",4260313,938104,6150540,14437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1609473.395406,993.704448,1980.689669,1334071.73471,1
"Adzuki bean","2010","","World",32486941,NA,46510911,231884,23263358,3687949,2925196,17848377,3058155,1257641,395,NA,24159268,1250854,-266116,4178460,3905076,3595456,3694939,0.11,24,7.22,2.64,17848377.17,1.56,23835651.46561,19749.882483,33788.661932,21302312.535882,1
"Adzuki bean","2011","","World",32210303,NA,46191613,229717,22550667,4374204,2434938,17626824,3334745,1253116,64917,NA,23107800,1196330,482326,4856496,4842092,3851850,4108479,0.1,24,7.05,2.57,17626823.54,1.52,23504602.438845,19222.514691,41868.44617,21279052.060495,1
"Adzuki bean","2012","","World",30844784,NA,47256489,237545,22184938,4236638,2599136,17122805,3464305,1244916,44158,NA,23359698,1186106,-402427,4787454,4953739,4011952,4304353,0.1,23,6.78,2.47,17122804.78,1.46,23964544.99215,19624.753995,38113.737625,21571142.155966,1
"Adzuki bean","2013","","World",31027121,NA,47828399,241313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4556765,4657864,4071808,4484651,NA,NA,NA,NA,NA,NA,24162824.909485,19590.847169,41088.628853,21730034.483972,1
"African rice","2010","","World",693740399,NA,NA,NA,460450858,35030961,32942705,366518492,31482643,26716391,16192353,6154502,468621503,11926950,-4622327,33667567,20292800,31920942,20841526,1.89,547,148.3,54.13,366518491.71,10.24,195370921.023573,185816.288523,248136.623625,179580122.134546,1
"African rice","2011","","World",706179279,804025145,NA,NA,467717367,38877158,33043779,372030589,34683947,27981566,16498679,6147600,484014172,12017663,-12103595,37660616,24158859,35426797,24182629,1.85,548,148.85,54.32,372030588.78,10.23,202411854.863409,191591.382121,332021.44803,186636999.155692,1
"African rice","2012","","World",706711851,794825594,NA,NA,472469704,41192822,33580556,374089735,37033639,27413716,18641810,6521444,491785330,12225125,-15156442,39863585,23854196,37934683,24563130,1.82,544,148.13,54.07,374089735.21,10.15,205166538.416114,194726.96976,349330.712114,189688422.377043,1
"African rice","2013","","World",722317347,861868117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37174387,24225377,37887344,26330865,NA,NA,NA,NA,NA,NA,206762062.191074,196144.761947,337738.587879,191412445.346589,1
"Agave","2010","","World",56365,NA,44701,7931,1129670,917438,NA,NA,655005,0,1514876,NA,1391512,NA,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21886.186672,16.656341,25.493216,21886.186672,1
"Agave","2011","","World",56465,NA,43750,7748,1038153,1104986,NA,NA,750029,0,1507345,NA,1393080,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21420.889041,16.175721,27.706216,21420.889041,1
"Agave","2012","","World",54840,NA,40965,7470,1037441,1229620,NA,NA,826206,1,1502894,NA,1440855,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20057.11944,14.944184,24.933796,20057.11944,1
"Agave","2013","","World",54880,NA,41465,7556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20301.92744,15.027685,21.819912,20301.92744,1
