Item,Item_cleaned,Metric,Kingdom,Useable,Notes
Animal fats,Animal fats,Trade_crops_livestock,Animal,N,
Animal Oil+Fat+Grs,Animal Oil+Fat+Grs,Trade_crops_livestock,Animal,N,
Animal Vegetable Oil,Animal Vegetable Oil,Trade_crops_livestock,Animal,N,
Bacon and ham,Bacon and ham,Trade_crops_livestock,Animal,N,
Beeswax,Beeswax,Trade_crops_livestock,Animal,N,
Beeswax,Beeswax,Value of production,Animal,N,
Bovine Meat,Bovine Meat,Trade_crops_livestock,Animal,N,
Butter,Butter,Trade_crops_livestock,Animal,N,
Butter of karite nuts,Butter of karite nuts,Trade_crops_livestock,Animal,N,
"Butter, cow milk","Butter, cow milk",Trade_crops_livestock,Animal,N,
"Buttermilk, curdled, acidified milk","Buttermilk, curdled, acidified milk",Trade_crops_livestock,Animal,N,
Canned Meat nes,Canned Meat nes,Trade_crops_livestock,Animal,N,
Cheese and Curd,Cheese and Curd,Trade_crops_livestock,Animal,N,
"Cheese, processed","Cheese, processed",Trade_crops_livestock,Animal,N,
"Cheese, sheep milk","Cheese, sheep milk",Trade_crops_livestock,Animal,N,
"Cheese, whole cow milk","Cheese, whole cow milk",Trade_crops_livestock,Animal,N,
"Cocoons, unreelable & waste","Cocoons, unreelable & waste",Trade_crops_livestock,Animal,N,
Cream fresh,Cream fresh,Trade_crops_livestock,Animal,N,
Dairy Products+Eggs,Dairy Products+Eggs,Trade_crops_livestock,Animal,N,
Eggs in The Shell,Eggs in The Shell,Trade_crops_livestock,Animal,N,
"Eggs Liquid,Dried","Eggs Liquid,Dried",Trade_crops_livestock,Animal,N,
"Eggs, dried","Eggs, dried",Trade_crops_livestock,Animal,N,
"Eggs, hen, in shell","Eggs, hen, in shell",Trade_crops_livestock,Animal,N,
"Eggs, hen, in shell","Eggs, hen, in shell",Value of production,Animal,N,
"Eggs, liquid","Eggs, liquid",Trade_crops_livestock,Animal,N,
"Eggs, other bird, in shell","Eggs, other bird, in shell",Trade_crops_livestock,Animal,N,
"Eggs, other bird, in shell","Eggs, other bird, in shell",Value of production,Animal,N,
"Fat, camels","Fat, camels",Trade_crops_livestock,Animal,N,
"Fat, cattle","Fat, cattle",Trade_crops_livestock,Animal,N,
"Fat, liver prepared (foie gras)","Fat, liver prepared (foie gras)",Trade_crops_livestock,Animal,N,
"Fat, nes, prepared","Fat, nes, prepared",Trade_crops_livestock,Animal,N,
"Fat, pigs","Fat, pigs",Trade_crops_livestock,Animal,N,
"Ghee, of buffalo milk","Ghee, of buffalo milk",Trade_crops_livestock,Animal,N,
Grease incl. lanolin wool,Grease incl. lanolin wool,Trade_crops_livestock,Animal,N,
"Hair, fine","Hair, fine",Trade_crops_livestock,Animal,N,
"Hair, goat, coarse","Hair, goat, coarse",Trade_crops_livestock,Animal,N,
"Hides and skins nes, fresh","Hides and skins nes, fresh",Trade_crops_livestock,Animal,N,
"Hides, buffalo, dry salted","Hides, buffalo, dry salted",Trade_crops_livestock,Animal,N,
"Hides, buffalo, wet salted","Hides, buffalo, wet salted",Trade_crops_livestock,Animal,N,
"Hides, camel, nes","Hides, camel, nes",Trade_crops_livestock,Animal,N,
"Hides, camel, wet salted","Hides, camel, wet salted",Trade_crops_livestock,Animal,N,
"Hides, cattle, fresh","Hides, cattle, fresh",Trade_crops_livestock,Animal,N,
"Hides, cattle, wet salted","Hides, cattle, wet salted",Trade_crops_livestock,Animal,N,
"Hides, horse, dry salted","Hides, horse, dry salted",Trade_crops_livestock,Animal,N,
"Hides, nes","Hides, nes",Trade_crops_livestock,Animal,N,
"Honey, natural","Honey, natural",Trade_crops_livestock,Animal,N,
"Honey, natural","Honey, natural",Value of production,Animal,N,
Ice cream and edible ice,Ice cream and edible ice,Trade_crops_livestock,Animal,N,
Lactose,Lactose,Trade_crops_livestock,Animal,N,
Lard,Lard,Trade_crops_livestock,Animal,N,
Livestock (PIN),Livestock (PIN),Value of production,Animal,N,
"Meal, meat","Meal, meat",Trade_crops_livestock,Animal,N,
Meat and Meat Preparations,Meat and Meat Preparations,Trade_crops_livestock,Animal,N,
Meat Bovine Fresh,Meat Bovine Fresh,Trade_crops_livestock,Animal,N,
Meat Fresh+Ch+Frozen,Meat Fresh+Ch+Frozen,Trade_crops_livestock,Animal,N,
"Meat indigenous, ass","Meat indigenous, ass",Value of production,Animal,N,
"Meat indigenous, bird nes","Meat indigenous, bird nes",Value of production,Animal,N,
"Meat indigenous, buffalo","Meat indigenous, buffalo",Value of production,Animal,N,
"Meat indigenous, camel","Meat indigenous, camel",Value of production,Animal,N,
"Meat indigenous, cattle","Meat indigenous, cattle",Value of production,Animal,N,
"Meat indigenous, chicken","Meat indigenous, chicken",Value of production,Animal,N,
"Meat indigenous, duck","Meat indigenous, duck",Value of production,Animal,N,
"Meat indigenous, geese","Meat indigenous, geese",Value of production,Animal,N,
"Meat indigenous, goat","Meat indigenous, goat",Value of production,Animal,N,
"Meat indigenous, horse","Meat indigenous, horse",Value of production,Animal,N,
"Meat indigenous, mule","Meat indigenous, mule",Value of production,Animal,N,
"Meat indigenous, other camelids","Meat indigenous, other camelids",Value of production,Animal,N,
"Meat indigenous, pig","Meat indigenous, pig",Value of production,Animal,N,
"Meat indigenous, rabbit","Meat indigenous, rabbit",Value of production,Animal,N,
"Meat indigenous, rodents","Meat indigenous, rodents",Value of production,Animal,N,
"Meat indigenous, sheep","Meat indigenous, sheep",Value of production,Animal,N,
"Meat indigenous, total","Meat indigenous, total",Value of production,Animal,N,
"Meat indigenous, turkey","Meat indigenous, turkey",Value of production,Animal,N,
Meat of Swine,Meat of Swine,Trade_crops_livestock,Animal,N,
Meat Poultry Fresh,Meat Poultry Fresh,Trade_crops_livestock,Animal,N,
Meat Prepared Pres,Meat Prepared Pres,Trade_crops_livestock,Animal,N,
Meat Sheep Fresh,Meat Sheep Fresh,Trade_crops_livestock,Animal,N,
"Meat, ass","Meat, ass",Trade_crops_livestock,Animal,N,
"Meat, ass","Meat, ass",Value of production,Animal,N,
"Meat, beef and veal sausages","Meat, beef and veal sausages",Trade_crops_livestock,Animal,N,
"Meat, beef, preparations","Meat, beef, preparations",Trade_crops_livestock,Animal,N,
"Meat, bird nes","Meat, bird nes",Value of production,Animal,N,
"Meat, buffalo","Meat, buffalo",Value of production,Animal,N,
"Meat, camel","Meat, camel",Value of production,Animal,N,
"Meat, cattle","Meat, cattle",Trade_crops_livestock,Animal,N,
"Meat, cattle","Meat, cattle",Value of production,Animal,N,
"Meat, cattle, boneless (beef & veal)","Meat, cattle, boneless (beef & veal)",Trade_crops_livestock,Animal,N,
"Meat, chicken","Meat, chicken",Trade_crops_livestock,Animal,N,
"Meat, chicken","Meat, chicken",Value of production,Animal,N,
"Meat, chicken, canned","Meat, chicken, canned",Trade_crops_livestock,Animal,N,
"Meat, dried nes","Meat, dried nes",Trade_crops_livestock,Animal,N,
"Meat, duck","Meat, duck",Trade_crops_livestock,Animal,N,
"Meat, duck","Meat, duck",Value of production,Animal,N,
"Meat, game","Meat, game",Trade_crops_livestock,Animal,N,
"Meat, game","Meat, game",Value of production,Animal,N,
"Meat, goat","Meat, goat",Trade_crops_livestock,Animal,N,
"Meat, goat","Meat, goat",Value of production,Animal,N,
"Meat, goose and guinea fowl","Meat, goose and guinea fowl",Trade_crops_livestock,Animal,N,
"Meat, goose and guinea fowl","Meat, goose and guinea fowl",Value of production,Animal,N,
"Meat, horse","Meat, horse",Trade_crops_livestock,Animal,N,
"Meat, horse","Meat, horse",Value of production,Animal,N,
"Meat, mule","Meat, mule",Value of production,Animal,N,
"Meat, nes","Meat, nes",Trade_crops_livestock,Animal,N,
"Meat, nes","Meat, nes",Value of production,Animal,N,
"Meat, other camelids","Meat, other camelids",Value of production,Animal,N,
"Meat, other rodents","Meat, other rodents",Value of production,Animal,N,
"Meat, pig","Meat, pig",Trade_crops_livestock,Animal,N,
"Meat, pig","Meat, pig",Value of production,Animal,N,
"Meat, pig sausages","Meat, pig sausages",Trade_crops_livestock,Animal,N,
"Meat, pig, preparations","Meat, pig, preparations",Trade_crops_livestock,Animal,N,
"Meat, pork","Meat, pork",Trade_crops_livestock,Animal,N,
