group,crop,percentage
"Cereals, Other",Buckwheat,0.033070362
"Cereals, Other",Canary seed,0.002940021
"Cereals, Other",Adlay,0.142813661
"Cereals, Other",Amaranth,0.142813661
"Cereals, Other",Kaniwa,0.142813661
"Cereals, Other",Kiwicha,0.142813661
"Cereals, Other",Wildrice,0.142813661
"Cereals, Other",Fonio,0.013932645
"Cereals, Other",Quinoa,0.001667022
"Cereals, Other",Triticale,0.234321645
"Fruits, Other",Apricot,0.00314028
"Fruits, Other",Avocado,0.003547274
"Fruits, Other",Huckleberry,0.000701604
"Fruits, Other",Mulberry,0.000701604
"Fruits, Other",Myrtle,0.000701604
"Fruits, Other",Blueberry,0.000273436
"Fruits, Other",Cherries,0.002591747
"Fruits, Other",Cranberries,0.000390838
"Fruits, Other",Currants,0.000503002
"Fruits, Other",Figs,0.000848725
"Fruits, Other",Azarole,0.027126229
"Fruits, Other",Babaco,0.027126229
"Fruits, Other",Elderberry,0.027126229
"Fruits, Other",Jujube,0.027126229
"Fruits, Other",Litchi,0.027126229
"Fruits, Other",Loquat,0.027126229
"Fruits, Other",Medlar,0.027126229
"Fruits, Other",Pawpaw,0.027126229
"Fruits, Other",Pomegranate,0.027126229
"Fruits, Other",Prickly pear,0.027126229
"Fruits, Other",Service tree,0.027126229
"Fruits, Other",Strawberry tree,0.027126229
"Fruits, Other",Tamarind,0.027126229
"Fruits, Other",Atemoya,0.017837659
"Fruits, Other",Breadfruit,0.017837659
"Fruits, Other",Cainito,0.017837659
"Fruits, Other",Carambola,0.017837659
"Fruits, Other",Cherimoya,0.017837659
"Fruits, Other",Custard apple,0.017837659
"Fruits, Other",Durian,0.017837659
"Fruits, Other",Feijoa,0.017837659
"Fruits, Other",Jackfruit,0.017837659
"Fruits, Other",Longan,0.017837659
"Fruits, Other",Mamey sapote,0.017837659
"Fruits, Other",Mammee,0.017837659
"Fruits, Other",Mombin,0.017837659
"Fruits, Other",Naranjilla,0.017837659
"Fruits, Other",Passionfruit,0.017837659
"Fruits, Other",Rambutan,0.017837659
"Fruits, Other",Sapodilla,0.017837659
"Fruits, Other",Soursop,0.017837659
"Fruits, Other",Sugar apple,0.017837659
"Fruits, Other",Gooseberries,0.000133538
"Fruits, Other",Kiwi fruit,0.00251609
"Fruits, Other",Guavas,0.03634701
"Fruits, Other",Mango,0.03634701
"Fruits, Other",Mangosteen,0.03634701
"Fruits, Other",Melons,0.026712531
"Fruits, Other",Papayas,0.009826499
"Fruits, Other",Peaches and nectarines,0.017905699
"Fruits, Other",Pears,0.020403818
"Fruits, Other",Persimmons,0.003879731
"Fruits, Other",Plums,0.009189854
"Fruits, Other",Quinces,0.00048965
"Fruits, Other",Raspberries,0.000431169
"Fruits, Other",Strawberries,0.005745136
"Fruits, Other",Watermelons,0.088768651
Nuts,Almonds,0.119423561
Nuts,Areca nuts,0.05900327
Nuts,Brazil nut,0.005055531
Nuts,Cashews,0.295175732
Nuts,Chestnuts,0.098657697
Nuts,Hazelnuts,0.035163037
Nuts,Kola nuts,0.014269359
Nuts,Butter-nut,0.040192597
Nuts,Macadamia nut,0.040192597
Nuts,Pecan,0.040192597
Nuts,Pili nut,0.040192597
Nuts,Pine nut,0.040192597
Nuts,Pistachios,0.028775469
Nuts,Walnuts,0.143513362
"Oilcrops, Other",Castor bean,0.041698177
"Oilcrops, Other",Flax,0.047858413
"Oilcrops, Other",Hemp,0.002605635
"Oilcrops, Other",Jojoba,2.30663E-06
"Oilcrops, Other",Kapok,0.010058671
"Oilcrops, Other",Karite nuts,0.01627754
"Oilcrops, Other",Beech nut,0.071485255
"Oilcrops, Other",Candlenut,0.071485255
"Oilcrops, Other",Carapa,0.071485255
"Oilcrops, Other",Chontadura,0.071485255
"Oilcrops, Other",Mahuwa,0.071485255
"Oilcrops, Other",Noog,0.071485255
"Oilcrops, Other",Oiticica,0.071485255
"Oilcrops, Other",Perilla,0.071485255
"Oilcrops, Other",Physic nut,0.071485255
"Oilcrops, Other",Pongamia oil,0.071485255
"Oilcrops, Other",Purging croton,0.071485255
"Oilcrops, Other",Shala tree,0.071485255
"Oilcrops, Other",Poppies,0.001433244
"Oilcrops, Other",Safflower,0.012819422
"Oilcrops, Other",Tung nuts,0.009423535
"Pulses, Other",Bambara bean,0.003245393
"Pulses, Other",Chickpeas,0.178123989
"Pulses, Other",Cowpeas,0.129196876
"Pulses, Other",Faba beans,0.072628595
"Pulses, Other",Lentils,0.064992307
"Pulses, Other",Lupins,0.014157652
"Pulses, Other",Pigeonpeas,0.068072013
"Pulses, Other",Grasspea,0.065024686
"Pulses, Other",Jack bean,0.065024686
"Pulses, Other",Jicama,0.065024686
"Pulses, Other",Lablab,0.065024686
"Pulses, Other",Sword bean,0.065024686
"Pulses, Other",Velvet bean,0.065024686
"Pulses, Other",Winged bean,0.065024686
"Pulses, Other",Vetch,0.014410378
"Roots, Other",Arracacha,0.092562209
"Roots, Other",Arrowroot,0.092562209
"Roots, Other",Chufa,0.092562209
"Roots, Other",Jerusalem artichoke,0.092562209
"Roots, Other",Maca,0.092562209
"Roots, Other",Mashua,0.092562209
"Roots, Other",Mauka,0.092562209
"Roots, Other",Oca,0.092562209
"Roots, Other",Sago palm,0.092562209
"Roots, Other",Ulluco,0.092562209
"Roots, Other",Taro,0.071138523
"Roots, Other","Yautia, cocoyam",0.003239389
"Spices, Other",Anise,0.041516942
"Spices, Other",Badian,0.041516942
"Spices, Other",Coriander,0.041516942
"Spices, Other",Cumin,0.041516942
"Spices, Other",Fennel,0.041516942
"Spices, Other",Cinnamon,0.008458103
"Spices, Other",Ginger,0.111949661
"Spices, Other",Cardamoms,0.00365432
"Spices, Other",Nutmeg,0.00365432
"Spices, Other",Bay leaf,0.110713699
"Spices, Other",Dill,0.110713699
"Spices, Other",Fenugreek,0.110713699
"Spices, Other",Saffron,0.110713699
"Spices, Other",Thyme,0.110713699
"Spices, Other",Turmeric,0.110713699
"Spices, Other",Vanilla,0.000416691
Tea and mate,Mate,0.11537169
Tea and mate,Tea,0.88462831
"Vegetables, Other",Artichokes,0.000264675
"Vegetables, Other",Arrhenatherum,0.001395001
"Vegetables, Other",Asparagus,0.001395001
"Vegetables, Other",Cabbages,0.015425857
"Vegetables, Other",Cabbages and other brassicas,0.015425857
"Vegetables, Other",Canola,0.015425857
"Vegetables, Other",Ethiopian rape,0.015425857
"Vegetables, Other",Carobs,3.02909E-05
"Vegetables, Other",Carrots,0.006231749
"Vegetables, Other",Turnips,0.006231749
"Vegetables, Other",Cucumbers and gherkins,0.011687902
"Vegetables, Other",Eggplant,0.00803726
"Vegetables, Other",Garlic,0.004104365
"Vegetables, Other",Leeks and other alliaceous vegetables,0.000344826
"Vegetables, Other",Chicory,0.004279137
"Vegetables, Other",Lettuce,0.004279137
"Vegetables, Other",Okra,0.001567498
"Vegetables, Other",Butternut squash,0.004029733
"Vegetables, Other",Calabash,0.004029733
"Vegetables, Other",Cushaw,0.004029733
"Vegetables, Other",Fig leaf gourd,0.004029733
"Vegetables, Other",Pumpkin,0.004029733
"Vegetables, Other",Zucchini,0.004029733
"Vegetables, Other",New Zealand Spinach,0.003790614
"Vegetables, Other",Orache,0.003790614
"Vegetables, Other",Spinach,0.003790614
"Vegetables, Other",Bamboo shoot,0.047383208
"Vegetables, Other",Beets,0.047383208
"Vegetables, Other",Black salsify,0.047383208
"Vegetables, Other",Capers,0.047383208
"Vegetables, Other",Celery,0.047383208
"Vegetables, Other",Chervil,0.047383208
"Vegetables, Other",Cress,0.047383208
"Vegetables, Other",Horseradish,0.047383208
"Vegetables, Other",Marjoram,0.047383208
"Vegetables, Other",Parsley,0.047383208
"Vegetables, Other",Parsnip,0.047383208
"Vegetables, Other",Radish,0.047383208
"Vegetables, Other",Rhubarb,0.047383208
"Vegetables, Other",Salsify,0.047383208
"Vegetables, Other",Savory,0.047383208
"Vegetables, Other",Sorrel,0.047383208
