id,name,machine_name
1,Production,cb_production
2,Import Quantity,cb_import_quantity
3,Export Quantity,cb_export_quantity
4,Domestic supply quantity,cb_domestic_supply_quantity
5,Losses,cb_losses
6,Food supply quantity (tonnes),cb_food_supply_quantity
7,Stock Variation,cb_stock_variation
8,Feed,cb_feed
9,Seed,cb_seed
10,Other uses,cb_other_uses
11,Processing,cb_processing
16,Area harvested,c_area_harvested
17,Yield,c_yield
18,Production,c_production
19,Feed,c_feed
23,Import Quantity,clp_import_quantity
24,Import Value,clp_import_value
25,Export Quantity,clp_export_quantity
26,Export Value,clp_export_value
30,Food supply quantity (tonnes),fs_food_supply_quantity_tonnes
31,Food supply quantity (g/capita/day),fs_food_supply_quantity_g_capita_day
32,Food supply quantity (kg/capita/yr),fs_food_supply_quantity_kg_capita_yr
33,Food supply (kcal/capita/day),fs_food_supply_kcal_capita_day
34,Protein supply quantity (g/capita/day),fs_protein_supply_quantity_g_capita_day
35,Fat supply quantity (g/capita/day),fs_fat_supply_quantity_g_capita_day
37,Gross Production Value (constant 2004-2006 1000 I$),vap_gross_production_value_i
38,Net Production Value (constant 2004-2006 1000 I$),vap_net_production_value_2004_2006_1000_i
39,Gross Production Value (current million SLC),vap_gross_production_value_current_million_slc
40,Gross Production Value (constant 2004-2006 million SLC),vap_gross_production_value_2004-2006_million_slc
41,Gross Production Value (current million US$),vap_gross_production_value_current_million_us
42,Gross Production Value (constant 2004-2006 million US$),vap_gross_production_value_2004_2006_million_us
