crop,region_crop
Abaca,SEA
Acerola,SAM-Tro
Acerola,CAM
Achira,SAM-Tro
Achira,CAR
Achira,NAM
Achira,CAM
Ackee,WAF
Adlay,SEA
Adzuki bean,EAS
Adzuki bean,SAS
Aeschynomene,SAM-A
Aeschynomene,SAM-Tem
Aeschynomene,CAR
Aeschynomene,NAM
Aeschynomene,CAM
African eggplant,SAS
Agave,CAM
Agropyron,EAS
Agropyron,CAS
Agropyron,EEU-N
Agropyron,EEU-S
Agropyron,WEU-S
Agropyron,SEM
Agropyron,WAS
Agrostis,EAS
Agrostis,SAS
Agrostis,CAS
Agrostis,EEU-N
Agrostis,EEU-S
Agrostis,WEU-N
Agrostis,WEU-S
Agrostis,SEM
Agrostis,WAS
Ahipa,SAM-A
Albardine,SEM
Alfalfa,CAS
Alfalfa,WAS
Allspice,CAR
Allspice,CAM
Almonds,CAS
Almonds,WAS
Alopecurus,EAS
Alopecurus,CAS
Alopecurus,EEU-N
Alopecurus,EEU-S
Alopecurus,WEU-N
Alopecurus,WEU-S
Alopecurus,WAS
Alysicarpus,SEA
Alysicarpus,EAS
Alysicarpus,CAF
Alysicarpus,EAF
Alysicarpus,WAS
Alysicarpus,IOI
Alysicarpus,SAF
Alysicarpus,WAF
Amaranth,SAM-A
Amaranth,CAM
Andropogon,EAF
Andropogon,SAF
Andropogon,WAF
Anise,SEM
Anise,WAS
Annato,SAM-Tro
Annato,CAM
Apple,EAS
Apple,CAS
Apple,EEU-N
Apple,EEU-S
Apple,WEU-N
Apple,WEU-S
Apricot,EAS
Apricot,CAS
Areca nuts,SEA
Areca nuts,SAS
Arracacha,SAM-A
Arrhenatherum,EEU-N
Arrhenatherum,EEU-S
Arrhenatherum,WEU-N
Arrhenatherum,WEU-S
Arrhenatherum,SEM
Arrhenatherum,WAS
Arrowroot,SAM-Tro
Arrowroot,CAR
Arrowroot,CAM
Artichokes,EEU-S
Artichokes,WEU-S
Artichokes,SEM
Asparagus,CAS
Asparagus,EEU-N
Asparagus,EEU-S
Asparagus,WEU-N
Asparagus,WEU-S
Asparagus,SEM
Asparagus,WAS
Astragalus,EAS
Astragalus,EEU-N
Astragalus,EEU-S
Astragalus,WEU-N
Astragalus,WEU-S
Atemoya,SAM-Tro
Atemoya,CAM
Atriplex,EEU-S
Atriplex,PAC-ANZ
Atriplex,WEU-S
Atriplex,SEM
Atriplex,EAF
Atriplex,IOI
Atriplex,SAF
Avocado,CAM
Azarole,EEU-S
Azarole,WEU-S
Azarole,SEM
Babaco,SAM-A
Badian,SEA
Badian,EAS
Bambara bean,EAF
Bambara bean,SAF
Bamboo shoot,SEA
Bamboo shoot,EAS
Bananas,SEA
Bananas,PAC-T
Barley,CAS
Barley,SEM
Barley,WAS
Basil,SEA
Basil,SAS
Basil,EEU-S
Basil,WEU-S
Basil,SEM
Basil,EAF
Basil,WAS
Bay leaf,EEU-S
Bay leaf,WEU-S
Bay leaf,SEM
Beech nut,EEU-N
Beech nut,EEU-S
Beech nut,WEU-N
Beech nut,WEU-S
Beets,EEU-N
Beets,EEU-S
Beets,WEU-N
Beets,WEU-S
Beets,SEM
Black gram,SAS
Black nightshade,SEA
Black nightshade,SAM-Tro
Black nightshade,CAM
Black salsify,EEU-S
Black salsify,WEU-S
Black salsify,SEM
Blueberry,NAM
Brachiaria,EAF
Brachiaria,SAF
Brachiaria,WAF
Brazil nut,SAM-Tro
Breadfruit,SEA
Breadfruit,PAC-T
Buckwheat,EAS
Butter-nut,SAM-Tro
Butter-nut,CAM
Butternut squash,SAM-Tro
Butternut squash,NAM
Butternut squash,CAM
Cabbages,EAS
Cabbages,EEU-S
Cabbages,WEU-S
Cabbages,SEM
Cabbages and other brassicas,EAS
Cabbages and other brassicas,EEU-S
Cabbages and other brassicas,WEU-S
Cabbages and other brassicas,SEM
Caesarweed,SEA
Caesarweed,EAS
Caesarweed,SAM-Tro
Caesarweed,CAM
Caesarweed,PAC-T
Cainito,CAR
Calabash,SAF
Calopogonium,SAM-Tro
Calopogonium,SAM-Tem
Calopogonium,CAR
Calopogonium,CAM
Canary seed,EEU-S
Canary seed,WEU-S
Canary seed,SEM
Candlenut,SEA
Canola,EEU-S
Canola,WEU-S
Canola,SEM
Canola,WAS
Capers,EEU-S
