crop,country,year,common_name,genus,taxon
Abaca,World,2019,252,8520,61
Acerola,World,2019,690,291,156
Achira,World,2019,90,899,302
Ackee,World,2019,84,159,136
Adlay,World,2019,173,539,202
Adzuki bean,World,2019,328,11300,277
Aeschynomene,World,2019,158,158,9
African eggplant,World,2019,49,16500,125
Agave,World,2019,2710,2710,1
Agropyron,World,2019,598,598,192
Agrostis,World,2019,449,449,183
Ahipa,World,2019,28,284,23
Albardine,World,2019,0,33,32
Alfalfa,World,2019,9260,5870,3230
Allspice,World,2019,65,1470,111
Almonds,World,2019,3870,8320,417
Alopecurus,World,2019,291,291,24
Alysicarpus,World,2019,74,74,25
Amaranth,World,2019,2600,2600,347
Andropogon,World,2019,348,348,87
Anise,World,2019,544,710,412
Annato,World,2019,18,582,553
Apple,World,2019,30600,4280,1930
Apricot,World,2019,3370,8320,722
Areca nuts,World,2019,469,1270,563
Arracacha,World,2019,157,157,123
Arrhenatherum,World,2019,63,63,52
Arrowroot,World,2019,193,237,151
Artichokes,World,2019,2140,1140,462
Asparagus,World,2019,2620,2620,591
Astragalus,World,2019,4190,4190,6
Atemoya,World,2019,95,3960,0
Atriplex,World,2019,950,950,218
Avocado,World,2019,2910,2200,1920
Azarole,World,2019,8,1370,74
Babaco,World,2019,122,202,16
Badian,World,2019,23,452,221
Bambara bean,World,2019,351,11300,391
Bamboo shoot,World,2019,375,1100,359
Bananas,World,2019,15100,9020,857
Barley,World,2019,16100,4600,3790
Basil,World,2019,3840,5830,2600
Bay leaf,World,2019,124,602,521
Beech nut,World,2019,5,2630,1720
Beets,World,2019,8770,44300,2380
Black gram,World,2019,891,11300,1350
Black nightshade,World,2019,82,16500,74
Black salsify,World,2019,3,220,33
Blueberry,World,2019,5000,3500,866
Brachiaria,World,2019,3300,3300,1120
Brazil nut,World,2019,391,517,507
Breadfruit,World,2019,481,2380,530
Buckwheat,World,2019,3500,1240,719
Butter-nut,World,2019,5,561,1
Butternut squash,World,2019,66,3510,1030
Cabbages,World,2019,8130,17500,4510
Cabbages and other brassicas,World,2019,8130,17500,4510
Caesarweed,World,2019,0,164,110
Cainito,World,2019,96,343,92
Calabash,World,2019,123,825,701
Calopogonium,World,2019,74,74,54
Canary seed,World,2019,58,688,71
Candlenut,World,2019,76,241,18
Canola,World,2019,6910,17500,3550
Capers,World,2019,347,1010,520
Carambola,World,2019,758,1090,494
Carapa,World,2019,416,416,307
Caraway,World,2019,371,553,270
Cardamoms,World,2019,787,507,95
Carneros Yucca,World,2019,0,1010,7
Caroa,World,2019,5,27,24
Carobs,World,2019,762,453,434
Carrots,World,2019,5220,2170,1940
Cashews,World,2019,3280,1650,1270
Cassava,World,2019,13700,4220,3120
Castor bean,World,2019,927,3570,2430
Ceara,World,2019,477,4220,72
Celery,World,2019,1240,841,718
Centrosema,World,2019,177,177,76
Ceylon-spinach,World,2019,9,366,6
Chayote,World,2019,233,377,354
