crop,country,year,gini_upov_genus,gini_upov_species
Abaca,World,2019,0.109649844,1
Acerola,World,2019,0.07,0.05
Achira,World,2019,0.211634137,0.042735043
Ackee,World,2019,1,1
Adlay,World,2019,0.038461538,1
Adzuki bean,World,2019,0.047643953,0.011337868
Aeschynomene,World,2019,0.016129032,0.016129032
African eggplant,World,2019,0.078872371,0.011363636
Agave,World,2019,0.142857143,1
Agropyron,World,2019,0.059142702,0.051731894
Agrostis,World,2019,0.158280454,0.155196557
Ahipa,World,2019,1,1
Albardine,World,2019,1,1
Alfalfa,World,2019,0.116817814,0.114686524
Allspice,World,2019,1,1
Almonds,World,2019,0.16798243,0.082682961
Alopecurus,World,2019,0.170123457,0.167174023
Alysicarpus,World,2019,0.015873016,0.015873016
Amaranth,World,2019,0.063142123,0.046195652
Andropogon,World,2019,0.03968254,0.040740741
Anise,World,2019,0.033006244,0.047457627
Annato,World,2019,1,1
Apple,World,2019,0.264235764,0.217592224
Apricot,World,2019,0.16798243,0.131393323
Areca nuts,World,2019,1,1
Arracacha,World,2019,1,1
Arrhenatherum,World,2019,0.15010142,0.145393721
Arrowroot,World,2019,0.066666667,1
Artichokes,World,2019,0.177740398,0.107536182
Asparagus,World,2019,0.100930109,0.089886145
Astragalus,World,2019,0.0625,0.0375
Atemoya,World,2019,0.159117305,1
Atriplex,World,2019,0.031986532,0.015151515
Avocado,World,2019,0.263731061,0.244223052
Azarole,World,2019,0.110204082,1
Babaco,World,2019,1,0.153846154
Badian,World,2019,0.166666667,1
Bambara bean,World,2019,0.047643953,1
Bamboo shoot,World,2019,0.138888889,0.138888889
Bananas,World,2019,0.109649844,0.072855134
Barley,World,2019,0.113301921,0.111280759
Basil,World,2019,0.071646841,0.067971451
Bay leaf,World,2019,0.234848485,0.190909091
Beech nut,World,2019,0.173913043,0.086956522
Beets,World,2019,0.155009954,0.154800027
Black gram,World,2019,0.047643953,0.017857143
Black nightshade,World,2019,0.078872371,1
Black salsify,World,2019,0.207489879,0.207489879
Blueberry,World,2019,0.248893805,0.206531445
Brachiaria,World,2019,0.121995465,0.092799384
Brazil nut,World,2019,1,1
Breadfruit,World,2019,1,1
Buckwheat,World,2019,0.156139607,0.156139607
Butter-nut,World,2019,1,1
Butternut squash,World,2019,0.078948486,0.059992639
Cabbages,World,2019,0.116937104,0.083049903
Cabbages and other brassicas,World,2019,0.116937104,0.116446133
Caesarweed,World,2019,1,1
Cainito,World,2019,1,1
Calabash,World,2019,0.062112676,0.062112676
Calopogonium,World,2019,1,1
Canary seed,World,2019,0.121400339,0.058998145
Candlenut,World,2019,1,1
Canola,World,2019,0.116937104,0.069425181
Capers,World,2019,0.125581395,0.125581395
Carambola,World,2019,0.045454545,0.045454545
Carapa,World,2019,1,1
Caraway,World,2019,0.145784816,0.140177176
Cardamoms,World,2019,1,0.041666667
Carneros Yucca,World,2019,0.218836565,1
Caroa,World,2019,1,1
Carobs,World,2019,0.118131868,0.118131868
Carrots,World,2019,0.115879923,0.113585594
Cashews,World,2019,1,1
Cassava,World,2019,0.022488756,0.014492754
Castor bean,World,2019,0.056065775,0.048986486
Ceara,World,2019,0.022488756,1
Celery,World,2019,0.124277101,0.123733875
Centrosema,World,2019,0.015384615,0.015384615
Ceylon-spinach,World,2019,1,1
Chayote,World,2019,0.055555556,0.055555556
Cherimoya,World,2019,0.159117305,0.131707317
Cherries,World,2019,0.16798243,0.199795523
Chervil,World,2019,0.097560976,0.097560976
Chestnuts,World,2019,0.184394722,0.11011236
Chickpeas,World,2019,0.114505396,0.114505396
Chicle,World,2019,1,1
