crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Abaca,World,2019,NA,NA,NA,NA
Adlay,World,2019,0.097302145,0.104646392,0.108623725,0.106142402
Adzuki bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Agave,World,2019,NA,NA,NA,NA
Albardine,World,2019,NA,NA,NA,NA
Alfalfa,World,2019,NA,NA,NA,NA
Allspice,World,2019,0.084139609,0.085980732,0.089014,0.086435845
Almonds,World,2019,0.173907948,0.178896142,0.176856646,0.174338046
Amaranth,World,2019,0.097302145,0.104646392,0.108623725,0.106142402
Anise,World,2019,0.152381577,0.15499538,0.158356186,0.159729654
Apple,World,2019,0.163032143,0.179329123,0.183315347,0.152366721
Apricot,World,2019,0.20071228,0.275404733,0.274725924,0.270305079
Areca nuts,World,2019,0.170909092,0.175798358,0.173830279,0.171404715
Arracacha,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Arrhenatherum,World,2019,NA,NA,NA,NA
Arrowroot,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Artichokes,World,2019,0.259396689,0.268465845,0.26268463,0.26469813
Asparagus,World,2019,0.256920348,0.265902926,0.2601769,0.262171179
Atemoya,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Avocado,World,2019,0.198356502,0.272172283,0.271501442,0.267132484
Azarole,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Babaco,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Badian,World,2019,0.152381577,0.15499538,0.158356186,0.159729654
Bambara bean,World,2019,0.151022404,0.153606436,0.154590012,0.154536067
Bamboo shoot,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Bananas,World,2019,0.141563958,0.160314965,0.15954087,0.157152409
Barley,World,2019,0.06360922,0.074507096,0.075534767,0.072671337
Bay leaf,World,2019,0.151251545,0.152977838,0.156441019,0.1579976
Beech nut,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Beets,World,2019,0.245215549,0.253788897,0.248323739,0.250227162
Black gram,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Black salsify,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Blueberry,World,2019,0.207107524,0.284179884,0.283479446,0.278917741
Brazil nut,World,2019,0.176123285,0.181153754,0.179097686,0.176443578
Breadfruit,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Buckwheat,World,2019,0.095487379,0.103109344,0.107118886,0.104574967
Butter-nut,World,2019,0.170110452,0.17497687,0.173017988,0.170603758
Butternut squash,World,2019,0.253293237,0.262149002,0.256503815,0.258469939
Cabbages,World,2019,0.248040613,0.256712732,0.251184611,0.253109963
Cabbages and other brassicas,World,2019,0.248040613,0.256712732,0.251184611,0.253109963
Caesarweed,World,2019,NA,NA,NA,NA
Cainito,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Calabash,World,2019,0.253293237,0.262149002,0.256503815,0.258469939
Canary seed,World,2019,0.095598497,0.103053794,0.107101361,0.104515489
Candlenut,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Canola,World,2019,0.248040613,0.256712732,0.251184611,0.253109963
Capers,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Carambola,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Carapa,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Cardamoms,World,2019,0.153475224,0.156107787,0.159492713,0.160876039
Carneros Yucca,World,2019,NA,NA,NA,NA
Caroa,World,2019,NA,NA,NA,NA
Carobs,World,2019,0.264495395,0.273742815,0.267847964,0.269901042
Carrots,World,2019,0.251517818,0.260311509,0.254705891,0.256658234
Cashews,World,2019,0.174437895,0.179420226,0.177383833,0.174755122
Cassava,World,2019,0.076724874,0.065364334,0.066840508,0.062391103
Castor bean,World,2019,0.04434599,0.046423502,0.050248258,0.046786972
Ceara,World,2019,NA,NA,NA,NA
Celery,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Cherimoya,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Cherries,World,2019,0.203124687,0.278714886,0.278027919,0.273553938
Chervil,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Chestnuts,World,2019,0.176123285,0.181153754,0.179097686,0.176443578
Chickpeas,World,2019,0.146280155,0.148783046,0.149720451,0.149668172
Chicle,World,2019,NA,NA,NA,NA
Chicory,World,2019,0.251517818,0.260311509,0.254705891,0.256658234
Chillies and peppers,World,2019,0.084139609,0.085980732,0.089014,0.086435845
Chinotto,World,2019,0.030890288,0.048177891,0.078363417,0.04791773
Chontadura,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Chufa,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Cinnamon,World,2019,0.153108935,0.155735215,0.159112062,0.160492087
Citron,World,2019,0.030890288,0.048177891,0.078363417,0.04791773
Citronella,World,2019,NA,NA,NA,NA
Cloves,World,2019,0.025182661,0.012326852,0.053050406,0.017628481
Cocoa,World,2019,0.159830845,0.161504584,0.180447387,0.177736325
Coconuts,World,2019,0.080524177,0.07715696,0.058328137,0.056810141
Coffee,World,2019,NA,0.167884945,0.171848166,0.155829412
Common bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Coriander,World,2019,0.152381577,0.15499538,0.158356186,0.159729654
Cotton,World,2019,0.058862271,0.058241886,0.058970081,0.012380668
Cowpeas,World,2019,0.150646727,0.153224331,0.15420546,0.154151649
Cranberries,World,2019,0.206601149,0.283485067,0.282786343,0.27823579
Cress,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Cucumbers and gherkins,World,2019,0.250347967,0.259100758,0.253521212,0.255464475
Cumin,World,2019,0.152381577,0.15499538,0.158356186,0.159729654
Currants,World,2019,0.206097244,0.28279364,0.28209662,0.277557166
Cushaw,World,2019,0.253293237,0.262149002,0.256503815,0.258469939
Custard apple,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Dates,World,2019,0.025984962,0.033639009,0.032259572,0.031102242
Devil's cotton,World,2019,NA,NA,NA,NA
Dill,World,2019,0.151251545,0.152977838,0.156441019,0.1579976
Durian,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Eggplant,World,2019,0.252106852,0.260921138,0.255302392,0.257259307
Elderberry,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Esparto,World,2019,NA,NA,NA,NA
Ethiopian rape,World,2019,0.248040613,0.256712732,0.251184611,0.253109963
Faba beans,World,2019,0.147707278,0.150234588,0.151196573,0.151143812
Feijoa,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Fennel,World,2019,0.152381577,0.15499538,0.158356186,0.159729654
Fenugreek,World,2019,0.151251545,0.152977838,0.156441019,0.1579976
Fig leaf gourd,World,2019,0.253293237,0.262149002,0.256503815,0.258469939
Figs,World,2019,0.202152799,0.277381322,0.276697642,0.272245068
Finger millet,World,2019,0.030251535,0.030902044,0.029602955,0.032398934
Fique,World,2019,NA,NA,NA,NA
Flax,World,2019,0.042617899,0.044654946,0.048217596,0.04496656
Fonio,World,2019,0.098144539,0.105403795,0.109475905,0.106939064
Foxtail millet,World,2019,0.030251535,0.030902044,0.029602955,0.032398934
Garlic,World,2019,0.252106852,0.260921138,0.255302392,0.257259307
Giant cabuya,World,2019,NA,NA,NA,NA
