crop,country,year,genus_count_gbif_research_supply,species_count_gbif_research_supply
Abaca,World,2019,983,4
Acerola,World,2019,4,1
Achira,World,2019,47,35
Ackee,World,2019,3,2
Adlay,World,2019,13,11
Adzuki bean,World,2019,5211,2
Aeschynomene,World,2019,229,119
African eggplant,World,2019,8000,605
Rice (African),World,2019,9756,828
Agave,World,2019,72,5
Agropyron,World,2019,147,90
Agrostis,World,2019,69,29
Ahipa,World,2019,88,0
Albardine,World,2019,1,1
Alfalfa,World,2019,2949,879
Allspice,World,2019,2,2
Almonds,World,2019,1169,136
Alopecurus,World,2019,16,11
Alysicarpus,World,2019,360,222
Amaranth,World,2019,767,130
Andropogon,World,2019,87,53
Anise,World,2019,33,6
Annato,World,2019,15,14
Apple,World,2019,310,0
Apricot,World,2019,1169,173
Areca nuts,World,2019,14,3
Arracacha,World,2019,93,93
Arrhenatherum,World,2019,12,12
Arrowroot,World,2019,18,8
Artichokes,World,2019,5,3
Rice (Asian),World,2019,9756,7591
Asparagus,World,2019,51,14
Astragalus,World,2019,516,5
Atemoya,World,2019,112,0
Atriplex,World,2019,37,1
Avocado,World,2019,162,139
Azarole,World,2019,128,2
Babaco,World,2019,5,0
Badian,World,2019,16,0
Bambara bean,World,2019,5211,1115
Bamboo shoot,World,2019,39,8
Bananas,World,2019,983,40
Barley,World,2019,3188,2085
Basil,World,2019,97,37
Bay leaf,World,2019,7,4
Beech nut,World,2019,35,7
Beets,World,2019,931,494
Black gram,World,2019,5211,333
Black nightshade,World,2019,8000,21
Black salsify,World,2019,5,3
Blueberry,World,2019,195,6
Brachiaria,World,2019,469,211
Brazil nut,World,2019,2,1
Breadfruit,World,2019,211,77
Buckwheat,World,2019,417,129
Butter-nut,World,2019,0,0
Butternut squash,World,2019,1386,392
Cabbages,World,2019,1499,606
Cabbages and other brassicas,World,2019,1499,954
Caesarweed,World,2019,12,12
Cainito,World,2019,6,2
Calabash,World,2019,220,203
Calopogonium,World,2019,74,74
Canary seed,World,2019,56,1
Candlenut,World,2019,5,5
Canola,World,2019,1499,77
Capers,World,2019,8,5
Carambola,World,2019,15,5
Carapa,World,2019,1,0
Caraway,World,2019,25,19
Cardamoms,World,2019,87,1
Carneros Yucca,World,2019,33,0
Caroa,World,2019,1,0
Carobs,World,2019,5,4
Carrots,World,2019,134,103
Cashews,World,2019,10,10
Cassava,World,2019,2462,1983
Castor bean,World,2019,101,101
Ceara,World,2019,2462,10
Celery,World,2019,22,19
Centrosema,World,2019,155,102
Ceylon-spinach,World,2019,7,2
Chayote,World,2019,249,243
Cherimoya,World,2019,112,4
Cherries,World,2019,1169,75
Chervil,World,2019,15,2
Chestnuts,World,2019,21,13
Chickpeas,World,2019,854,633
Chicle,World,2019,27,22
Chicory,World,2019,34,32
Chillies and peppers,World,2019,2025,1045
Chinotto,World,2019,1177,0
Chontadura,World,2019,13,2
Chufa,World,2019,40,1
Cinnamon,World,2019,27,4
Citron,World,2019,1177,32
Citronella,World,2019,91,7
Clovers,World,2019,4328,1971
Cloves,World,2019,21,1
Cocoa,World,2019,109,86
Coconuts,World,2019,162,162
Coffee,World,2019,108,41
Common bean,World,2019,5800,4590
Coriander,World,2019,105,83
Coronilla,World,2019,103,11
Cotton,World,2019,1571,672
Cowpeas,World,2019,5211,2550
Crambe,World,2019,27,2
Cranberries,World,2019,195,0
Cress,World,2019,63,5
Cucumbers and gherkins,World,2019,1056,208
Cumin,World,2019,52,51
Currants,World,2019,123,9
Cushaw,World,2019,1386,87
Custard apple,World,2019,112,8
Dactylis,World,2019,281,277
Dates,World,2019,30,6
Desmodium,World,2019,1225,6
Devil's cotton,World,2019,5,4
Dill,World,2019,42,41
Durian,World,2019,1055,380
Eggplant,World,2019,8000,2805
Elderberry,World,2019,50,7
Esparto,World,2019,36,1
Ethiopian rape,World,2019,1499,1
Faba beans,World,2019,2842,765
Feijoa,World,2019,4,4
Fennel,World,2019,30,28
Fenugreek,World,2019,380,139
Festuca,World,2019,386,45
Fig leaf gourd,World,2019,1386,127
Figs,World,2019,120,7
Finger millet,World,2019,1942,1571
Fique,World,2019,7,0
Flax,World,2019,86,39
Fonio,World,2019,702,608
Foxtail millet,World,2019,237,123
Galactia,World,2019,43,25
Garlic,World,2019,1708,167
Giant cabuya,World,2019,7,2
Ginger,World,2019,76,10
Gooseberries,World,2019,123,5
Grapefruits,World,2019,1177,0
Grapes,World,2019,771,675
Grasspea,World,2019,1371,58
Groundnuts,World,2019,2081,1769
Guavas,World,2019,71,47
Guayule,World,2019,4,0
Gutta-percha,World,2019,1,1
Hazelnuts,World,2019,47,17
Hedysarum,World,2019,45,8
Hemp,World,2019,7,7
Hops,World,2019,8,7
Horseradish,World,2019,6,5
Huckleberry,World,2019,3,1
Indigofera,World,2019,264,36
Jack bean,World,2019,96,18
Jackfruit,World,2019,211,51
Japanese millet,World,2019,116,18
Jerusalem artichoke,World,2019,468,53
Jicama,World,2019,88,68
Jojoba,World,2019,3,3
Jujube,World,2019,37,2
Jute,World,2019,403,181
Kaniwa,World,2019,35,0
Kapok,World,2019,11,3
Karite nuts,World,2019,1,1
Kenaf,World,2019,483,88
Kiwi fruit,World,2019,32,14
Kiwicha,World,2019,767,181
Kodo millet,World,2019,85,43
Kola nuts,World,2019,8,2
Kumquat,World,2019,0,0
Lablab,World,2019,82,82
Lavender,World,2019,39,4
Leeks and other alliaceous vegetables,World,2019,1708,21
Lemons and limes,World,2019,1177,122
Lentils,World,2019,796,384
Lespedeza,World,2019,14,0
Lettuce,World,2019,338,240
Leucaena,World,2019,136,23
Licorice,World,2019,8,2
Lima bean,World,2019,5800,632
Litchi,World,2019,1,1
Little millet,World,2019,490,43
Lolium,World,2019,434,356
Longan,World,2019,17,16
Loquat,World,2019,5,4
Lotus,World,2019,241,94
Lupins,World,2019,1305,1031
Maca,World,2019,63,7
Macadamia nut,World,2019,1,1
Macroptilium,World,2019,188,129
Mahuwa,World,2019,3,0
Maize,World,2019,8112,8108
Malabar spinach,World,2019,2,2
