crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Abaca,World,2010,NA,NA,NA,NA
Adlay,World,2010,5.79E-05,0.00026407,0.000185448,0.000329931
Adzuki bean,World,2010,0.002228562,0.00739622,0.004422355,0.020021892
Agave,World,2010,NA,NA,NA,NA
Albardine,World,2010,NA,NA,NA,NA
Alfalfa,World,2010,NA,NA,NA,NA
Allspice,World,2010,0.003038949,0.000924527,0.000722767,0.001796836
Almonds,World,2010,0.002782402,0.000552052,0.000440355,0.000613099
Amaranth,World,2010,5.79E-05,0.00026407,0.000185448,0.000329931
Anise,World,2010,0.000134579,7.68E-05,4.58E-05,0.000101242
Apple,World,2010,0.001012983,0.003081758,0.015343489,0.000770073
Apricot,World,2010,2.10E-05,2.71E-05,0.000126872,1.37E-05
Areca nuts,World,2010,0.001374694,0.000272751,0.000217565,0.000302912
Arracacha,World,2010,1.88E-05,0.000171153,0.000290282,9.50E-05
Arrhenatherum,World,2010,NA,NA,NA,NA
Arrowroot,World,2010,1.88E-05,0.000171153,0.000290282,9.50E-05
Artichokes,World,2010,3.16E-06,5.79E-06,4.60E-05,1.29E-05
Asparagus,World,2010,1.67E-05,3.05E-05,0.000242384,6.79E-05
Atemoya,World,2010,0.000119257,0.00015392,0.000720667,7.78E-05
Avocado,World,2010,2.37E-05,3.06E-05,0.000143315,1.55E-05
Azarole,World,2010,0.000181357,0.00023407,0.001095939,0.000118372
Babaco,World,2010,0.000181357,0.00023407,0.001095939,0.000118372
Badian,World,2010,0.000134579,7.68E-05,4.58E-05,0.000101242
Bambara bean,World,2010,1.78E-05,3.20E-05,1.85E-05,8.25E-05
Bamboo shoot,World,2010,0.000566381,0.001036767,0.008232927,0.002304858
Bananas,World,2010,0.001418176,0.006471692,0.020782619,0.003593673
Barley,World,2010,0.00060779,0.002157231,0.001592538,0.002438564
Bay leaf,World,2010,0.000358883,0.000204716,0.000122065,0.000269982
Beech nut,World,2010,0.000130344,2.20E-05,1.49E-05,6.42E-05
Beets,World,2010,0.000566381,0.001036767,0.008232927,0.002304858
Black gram,World,2010,0.002228562,0.00739622,0.004422355,0.020021892
Black salsify,World,2010,0.000566381,0.001036767,0.008232927,0.002304858
Blueberry,World,2010,1.83E-06,2.36E-06,1.10E-05,1.19E-06
Brazil nut,World,2010,0.000117787,2.34E-05,1.86E-05,2.60E-05
Breadfruit,World,2010,0.000119257,0.00015392,0.000720667,7.78E-05
Buckwheat,World,2010,1.34E-05,6.11E-05,4.29E-05,7.64E-05
Butter-nut,World,2010,0.000936431,0.000185796,0.000148204,0.000206342
Butternut squash,World,2010,4.82E-05,8.82E-05,0.000700174,0.000196018
Cabbages and other brassicas,World,2010,0.000184388,0.000337525,0.002680274,0.000750359
Cabbages,World,2010,0.000184388,0.000337525,0.002680274,0.000750359
Caesarweed,World,2010,NA,NA,NA,NA
Cainito,World,2010,0.000119257,0.00015392,0.000720667,7.78E-05
Calabash,World,2010,4.82E-05,8.82E-05,0.000700174,0.000196018
Canary seed,World,2010,1.19E-06,5.44E-06,3.82E-06,6.79E-06
Candlenut,World,2010,0.000130344,2.20E-05,1.49E-05,6.42E-05
Canola,World,2010,0.000184388,0.000337525,0.002680274,0.000750359
Capers,World,2010,0.000566381,0.001036767,0.008232927,0.002304858
Carambola,World,2010,0.000119257,0.00015392,0.000720667,7.78E-05
Carapa,World,2010,0.000130344,2.20E-05,1.49E-05,6.42E-05
Cardamoms,World,2010,1.18E-05,6.76E-06,4.03E-06,8.91E-06
Carneros Yucca,World,2010,NA,NA,NA,NA
Caroa,World,2010,NA,NA,NA,NA
Carobs,World,2010,3.62E-07,6.63E-07,5.26E-06,1.47E-06
Carrots,World,2010,7.45E-05,0.000136354,0.001082779,0.000303131
Cashews,World,2010,0.006877183,0.00136449,0.001088413,0.001515379
Cassava,World,2010,0.001215579,0.011094329,0.023257177,0.003080291
Castor bean,World,2010,7.60E-05,1.29E-05,8.68E-06,3.75E-05
Ceara,World,2010,NA,NA,NA,NA
Celery,World,2010,0.000566381,0.001036767,0.008232927,0.002304858
Cherimoya,World,2010,0.000119257,0.00015392,0.000720667,7.78E-05
Cherries,World,2010,1.73E-05,2.24E-05,0.00010471,1.13E-05
Chervil,World,2010,0.000566381,0.001036767,0.008232927,0.002304858
Chestnuts,World,2010,0.002298587,0.000456059,0.000363784,0.000506491
Chickpeas,World,2010,0.000974357,0.001756592,0.001015754,0.004526558
Chicle,World,2010,NA,NA,NA,NA
Chicory,World,2010,5.11E-05,9.36E-05,0.000743509,0.00020815
Chillies and peppers,World,2010,0.003038949,0.000924527,0.000722767,0.001796836
Chinotto,World,2010,0.000202597,0.000308176,0.002897194,0.000256691
Chontadura,World,2010,0.000130344,2.20E-05,1.49E-05,6.42E-05
Chufa,World,2010,1.88E-05,0.000171153,0.000290282,9.50E-05
Cinnamon,World,2010,2.74E-05,1.56E-05,9.33E-06,2.06E-05
Citron,World,2010,0.000202597,0.000308176,0.002897194,0.000256691
Citronella,World,2010,NA,NA,NA,NA
Cloves,World,2010,NA,NA,6.13E-06,NA
Cocoa,World,2010,0.007901266,0.001540879,0.001022899,0.001540146
Coconuts,World,2010,0.041532297,0.006471692,0.005794388,0.001540146
Coffee,World,2010,NA,0.000308176,0.001911045,0.002181873
Common bean,World,2010,0.002228562,0.00739622,0.004422355,0.020021892
Coriander,World,2010,0.000134579,7.68E-05,4.58E-05,0.000101242
Cotton,World,2010,0.028768713,0.004006286,0.000882021,NA
Cowpeas,World,2010,0.000706721,0.001274091,0.000736747,0.003283203
Cranberries,World,2010,2.61E-06,3.37E-06,1.58E-05,1.71E-06
Cress,World,2010,0.000566381,0.001036767,0.008232927,0.002304858
Cucumbers and gherkins,World,2010,0.000139708,0.000255737,0.002030796,0.000568534
Cumin,World,2010,0.000134579,7.68E-05,4.58E-05,0.000101242
