crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Abaca,World,2010,NA,NA,NA,NA
Abaca,World,2011,NA,NA,NA,NA
Abaca,World,2012,NA,NA,NA,NA
Abaca,World,2013,NA,NA,NA,NA
Adlay,World,2010,0.004347826,0.030434783,0.02173913,0.039130435
Adlay,World,2011,0.004347826,0.052173913,0.030434783,0.056521739
Adlay,World,2012,0.008695652,0.039130435,0.034782609,0.052173913
Adlay,World,2013,0.008695652,0.039130435,0.02173913,0.043478261
Adzuki bean,World,2010,0.273913043,0.491304348,0.469565217,0.57826087
Adzuki bean,World,2011,0.27826087,0.473913043,0.469565217,0.582608696
Adzuki bean,World,2012,0.265217391,0.47826087,0.447826087,0.573913043
Adzuki bean,World,2013,0.27826087,0.486956522,0.447826087,0.573913043
Agave,World,2010,NA,NA,NA,NA
Agave,World,2011,NA,NA,NA,NA
Agave,World,2012,NA,NA,NA,NA
Agave,World,2013,NA,NA,NA,NA
Albardine,World,2010,NA,NA,NA,NA
Albardine,World,2011,NA,NA,NA,NA
Albardine,World,2012,NA,NA,NA,NA
Albardine,World,2013,NA,NA,NA,NA
Alfalfa,World,2010,NA,NA,NA,NA
Alfalfa,World,2011,NA,NA,NA,NA
Alfalfa,World,2012,NA,NA,NA,NA
Alfalfa,World,2013,NA,NA,NA,NA
Allspice,World,2010,0.17826087,0.095652174,0.095652174,0.152173913
Allspice,World,2011,0.217391304,0.108695652,0.095652174,0.147826087
Allspice,World,2012,0.217391304,0.113043478,0.108695652,0.186956522
Allspice,World,2013,0.2,0.095652174,0.095652174,0.165217391
Almonds,World,2010,0.339130435,0.104347826,0.056521739,0.1
Almonds,World,2011,0.334782609,0.113043478,0.060869565,0.095652174
Almonds,World,2012,0.32173913,0.104347826,0.069565217,0.12173913
Almonds,World,2013,0.365217391,0.143478261,0.07826087,0.12173913
Amaranth,World,2010,0.004347826,0.02173913,0.02173913,0.034782609
Amaranth,World,2011,0.004347826,0.043478261,0.030434783,0.056521739
Amaranth,World,2012,0.008695652,0.034782609,0.034782609,0.047826087
Amaranth,World,2013,0.008695652,0.039130435,0.02173913,0.034782609
Anise,World,2010,0.013043478,NA,NA,NA
Anise,World,2011,0.008695652,NA,NA,NA
Anise,World,2012,0.013043478,NA,NA,NA
Anise,World,2013,0.004347826,NA,NA,NA
Apple,World,2010,0.134782609,0.373913043,0.573913043,0.095652174
Apple,World,2011,0.143478261,0.365217391,0.552173913,0.07826087
Apple,World,2012,0.156521739,0.347826087,0.560869565,0.095652174
Apple,World,2013,0.156521739,0.382608696,0.556521739,0.104347826
Apricot,World,2010,NA,NA,NA,NA
Apricot,World,2011,NA,NA,NA,NA
Apricot,World,2012,NA,NA,NA,NA
Apricot,World,2013,NA,NA,NA,NA
