crop,country,year,import_quantity_global
Abaca,World,2010,0.972135113
Abaca,World,2011,0.941579483
Abaca,World,2012,0.983281935
Abaca,World,2013,0.910049628
Adzuki bean,World,2010,0.774236145
Adzuki bean,World,2011,0.771645757
Adzuki bean,World,2012,0.737306917
Adzuki bean,World,2013,0.730691589
Alfalfa,World,2010,0.628568636
Alfalfa,World,2011,0.58845999
Alfalfa,World,2012,0.529731717
Alfalfa,World,2013,0.588434128
Allspice,World,2010,0.985220968
Allspice,World,2011,0.985829267
Allspice,World,2012,0.985931017
Allspice,World,2013,0.989027793
Almonds,World,2010,0.890629964
Almonds,World,2011,0.887897668
Almonds,World,2012,0.882843264
Almonds,World,2013,0.879290058
Anise,World,2010,0.740298449
Anise,World,2011,0.741615135
Anise,World,2012,0.696048119
Anise,World,2013,0.735011348
Apple,World,2010,0.354831517
Apple,World,2011,0.344522241
Apple,World,2012,0.345521672
Apple,World,2013,0.347088339
Apricot,World,2010,0.77905789
Apricot,World,2011,0.745699771
Apricot,World,2012,0.75724203
Apricot,World,2013,0.714749858
Areca nuts,World,2010,0.722616653
Areca nuts,World,2011,0.635480974
Areca nuts,World,2012,0.661446248
Areca nuts,World,2013,0.721718444
Arracacha,World,2010,0.994767065
Arracacha,World,2011,0.999902925
Arracacha,World,2012,0.999571415
Arracacha,World,2013,0.99979258
Arrowroot,World,2010,0.981058336
Arrowroot,World,2011,0.953415599
Arrowroot,World,2012,0.993382902
Arrowroot,World,2013,0.992691512
Artichokes,World,2010,0.441248924
Artichokes,World,2011,0.491167172
Artichokes,World,2012,0.510983763
Artichokes,World,2013,0.547903344
Asparagus,World,2010,0.657524951
Asparagus,World,2011,0.653715151
Asparagus,World,2012,0.661585835
Asparagus,World,2013,0.654363741
Atemoya,World,2010,0.999811244
Atemoya,World,2011,0.999851242
Atemoya,World,2012,0.999811021
Atemoya,World,2013,0.999566457
Avocado,World,2010,0.966781429
Avocado,World,2011,0.974553932
Avocado,World,2012,0.967254281
Avocado,World,2013,0.971901979
Azarole,World,2010,0.951750588
Azarole,World,2011,0.959834875
Azarole,World,2012,0.965422371
Azarole,World,2013,0.962347542
Babaco,World,2010,0.998887852
Babaco,World,2011,0.998754289
Babaco,World,2012,0.998982307
Babaco,World,2013,0.999492921
Badian,World,2010,0.814279485
Badian,World,2011,0.799843874
Badian,World,2012,0.786572551
Badian,World,2013,0.712833036
Bambara bean,World,2013,0.92625
Bamboo shoot,World,2010,0.725661514
Bamboo shoot,World,2011,0.744759518
Bamboo shoot,World,2012,0.763455249
Bamboo shoot,World,2013,0.806064024
Bananas,World,2010,0.997016983
Bananas,World,2011,0.997285378
Bananas,World,2012,0.996809737
Bananas,World,2013,0.996471507
Barley,World,2010,0.695375955
Barley,World,2011,0.693348105
Barley,World,2012,0.649829453
Barley,World,2013,0.613672721
Bay leaf,World,2010,0.876097177
Bay leaf,World,2011,0.874614929
Bay leaf,World,2012,0.856895624
Bay leaf,World,2013,0.865753166
Beech nut,World,2010,0.535012471
Beech nut,World,2011,0.65917875
Beech nut,World,2012,0.701625287
Beech nut,World,2013,0.677449335
Beets,World,2010,0.273020244
Beets,World,2011,0.253049136
Beets,World,2012,0.232578857
Beets,World,2013,0.222401936
Black gram,World,2010,0.871852139
Black gram,World,2011,0.845064177
Black gram,World,2012,0.815996337
Black gram,World,2013,0.796158875
Black salsify,World,2010,0.895657491
Black salsify,World,2011,0.906042737
Black salsify,World,2012,0.908840472
