crop,country,year,genus_count_gini_institution,species_count_gini_institution
Abaca,World,2019,0.830943795,0.998035359
Acerola,World,2019,0.661103169,0.86046819
Achira,World,2019,0.718256353,0.75008415
Ackee,World,2019,0.421920115,0.500831947
Adlay,World,2019,0.624676736,0.615548248
Adzuki bean,World,2019,0.816598697,0.94417971
Aeschynomene,World,2019,0.892639797,0.937199054
African eggplant,World,2019,0.793435117,0.96308749
African rice,World,2019,0.836659605,0.948328308
Agave,World,2019,0.618111519,0.750331152
Agropyron,World,2019,0.805944445,0.847274386
Agrostis,World,2019,0.766257525,0.77985892
Ahipa,World,2019,0.796300927,0.919338137
Albardine,World,2019,0.771705537,0.768425568
Alfalfa,World,2019,0.748065962,0.757142857
Allspice,World,2019,0.371555556,0.334995844
Almonds,World,2019,0.769768008,0.920195585
Alopecurus,World,2019,0.737647833,0.810069759
Alysicarpus,World,2019,0.911423596,0.920165689
Amaranth,World,2019,0.762483071,0.890601053
Andropogon,World,2019,0.766717016,0.896197125
Anise,World,2019,0.754410944,0.764306394
Annato,World,2019,0.671704873,0.668066693
Apple,World,2019,0.770920396,0.810397874
Apricot,World,2019,0.769768008,0.827129929
Areca nuts,World,2019,0.563373636,0.786675957
Arracacha,World,2019,0.472440132,0.598068168
Arrhenatherum,World,2019,0.702934623,0.72237736
Arrowroot,World,2019,0.403183024,0.653055614
Artichokes,World,2019,0.599222577,0.709922387
Asian rice,World,2019,0.836659605,0.83644619
Asparagus,World,2019,0.680549728,0.720985858
Astragalus,World,2019,0.798878217,0.848643694
Atemoya,World,2019,0.675524779,1
Atriplex,World,2019,0.717834511,0.897552732
Avocado,World,2019,0.801011137,0.849907207
Azarole,World,2019,0.740347281,0.877621247
Babaco,World,2019,0.649547824,0.937643849
Badian,World,2019,0.657865031,0.931625157
Bambara bean,World,2019,0.816598697,0.948415563
Bamboo shoot,World,2019,0.641143094,0.635028405
Bananas,World,2019,0.830943795,0.930538748
Barley,World,2019,0.786964285,0.788794588
Basil,World,2019,0.791439328,0.756943814
Bay leaf,World,2019,0.573871108,0.54958536
Beech nut,World,2019,0.824497302,0.856843554
Beets,World,2019,0.713322204,0.721215671
Black gram,World,2019,0.816598697,0.914513671
Black nightshade,World,2019,0.793435117,0.957032957
Black salsify,World,2019,0.649051315,0.766228134
Blueberry,World,2019,0.823033344,0.904933838
Brachiaria,World,2019,0.798022077,0.897560394
Brazil nut,World,2019,0.354914934,0.354359313
Breadfruit,World,2019,0.701348587,0.748033611
Buckwheat,World,2019,0.694128433,0.67951763
Butter-nut,World,2019,1,1
