crop,country,year,genus_count_mls_supply_accessions,species_count_mls_supply_accessions,genus_count_mls_supply_institutions,species_count_mls_supply_institutions
Abaca,World,2019,0.1743,,,
Acerola,World,2019,,,,
Achira,World,2019,,,,
Adlay,World,2019,0.1273,0.1321,,
Adzuki bean,World,2019,0.1685,0.4697,0.8843,0.9368
Aeschynomene,World,2019,0.8884,0.8474,,
African eggplant,World,2019,0.4035,0.4511,,
African rice,World,2019,0.2733,0.1717,0.9273,0.9181
Agave,World,2019,,,,
Agropyron,World,2019,0.094,0.1072,0.9232,0.9248
Agrostis,World,2019,0.2081,0.2648,0.7802,0.7275
Ahipa,World,2019,0.3295,0.7333,,
Alfalfa,World,2019,0.4859,0.4914,0.9491,0.9537
Almonds,World,2019,0.6173,0.1045,,
Alopecurus,World,2019,0.3499,0.5097,,
Alysicarpus,World,2019,0.7386,0.7409,,
Amaranth,World,2019,0.1466,0.1633,,
Andropogon,World,2019,0.139,0.6935,0.9608,0.8387
Anise,World,2019,0.0294,0.0286,,
Apple,World,2019,0.4993,0.6247,0.9952,0.9929
Apricot,World,2019,0.6173,0.6638,,
Arracacha,World,2019,,,,
Arrhenatherum,World,2019,0.3372,0.3446,0.7697,0.7685
Arrowroot,World,2019,,,,
Artichokes,World,2019,0.2581,,,
Asian rice,World,2019,0.2733,0.2707,0.9273,0.9279
Asparagus,World,2019,0.2383,0.3352,0.9943,0.9915
Astragalus,World,2019,0.2145,0.3366,0.879,0.855
Atriplex,World,2019,0.3489,0.7214,0.987,
Avocado,World,2019,,,,
Azarole,World,2019,,,,
Bambara bean,World,2019,0.1685,0.0087,0.8843,0.7628
Bamboo shoot,World,2019,,,,
Bananas,World,2019,0.1,0.0602,0.8827,0.9821
Barley,World,2019,0.3592,0.3785,0.91,0.9931
Basil,World,2019,0.2865,0.1751,,
Bay leaf,World,2019,,,,
Beech nut,World,2019,,,,
Beets,World,2019,0.332,0.2606,0.8203,0.8058
Black gram,World,2019,0.1685,0.1523,0.8843,0.6982
Black nightshade,World,2019,0.4035,0.4031,,
Black salsify,World,2019,0.0893,,,
Blueberry,World,2019,0.0158,,,
Brachiaria,World,2019,0.7059,0.7437,,
Breadfruit,World,2019,0.0038,0.0034,0.6215,0.7517
Buckwheat,World,2019,0.211,0.2112,,
Butternut squash,World,2019,0.125,0.1905,,
Cabbages,World,2019,0.2754,0.4328,0.9349,0.9025
Cabbages and other brassicas,World,2019,0.2754,0.2973,0.9349,0.9405
Caesarweed,World,2019,,,,
Cainito,World,2019,,,,
Calabash,World,2019,0.25,0.2517,,
Calopogonium,World,2019,,,,
Canary seed,World,2019,0.2939,0.1067,,
Canola,World,2019,0.2754,0.0589,0.9349,0.9065
Capers,World,2019,,,,
Carambola,World,2019,,,,
Caraway,World,2019,0.0325,0.0333,,
